Care Home Name,Name & Address,Email,Telephone No,Age Range,CQC Registered For,"Provide 
Nursing",Capacity,Post Code,Coordinates,Latitude,Longitude,Rating
Voyage care,"48 Cedar Road (Voyage) Dudley, DY1 4HW","48CedarRoad@voyagecare.
com",01384 241877,Under 65,"Learning Disability 
Mental Health Condition 
Physical Disabilities 
Sensory Impairment 
Substance Misuse 
Younger Adults",No,9.0,DY1 4HW,"[52.5, -2.08333]",52.5,-2.08333,No published rating
Abbeygate Care ,Abbeygate Care Centre 2 Leys Road Brockmoor Brierley Hill DY5 3UR,abbeygatecare1@gmail.com,01384 571295,65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,17.0,DY5 3UR,"[52.4857514, -2.1341733]",52.4857514,-2.1341733,No published rating
Abbeymere ,Abbeymere 12 Eggington Road Wollaston Stourbridge DY8 2QJ,abbeymere@karelink.co.uk,01384 395195,65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,18.0,DY8 2QJ,"[52.4584, -2.16295]",52.4584,-2.16295,No published rating
Allenbrook Nursing ,Allenbrook Nursing Home 209 Spies Lane Halesowen B62 9SJ,"manager@allenbrooknursing
home.co.uk",0121 422 5844,55+,"Dementia 
Mental Health Condition 
No Medical Intervention 
Old Age 
Physical Disability 
Sensory Impairment",Yes,36.0,B62 9SJ,"[52.4613003, -2.0139452]",52.4613003,-2.0139452,No published rating
Amberley Care Home ,Amberley Care Home 481-483 Stourbridge Road Harts Hill Brierley Hill DY5 1LB,"amberleycarehome@hotmail
.co.uk",01384 482365,65+,"Dementia 
Old Age",No,25.0,DY5 1LB,"[52.4927718, -2.1164204]",52.4927718,-2.1164204,No published rating
Arcare For Forte ,Arcare For Forte 440 Birmingham New Road Bilston WV14 9QB,"ksharma@arcarehomes.co.u
k",01902 880108,18+,"Learning Disability 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults",No,9.0,WV14 9QB,"[52.5481562, -2.094362]",52.5481562,-2.094362,No published rating
Ashbourne Care Ltd ,Ashbourne Care Ltd Lightwood Road Dudley DY1 2RS,ashbourne.m@fshc.co.uk,01384 242200,65+,"Dementia 
Old Age",No,38.0,DY1 2RS,"[52.517467, -2.101861]",52.517467,-2.101861,No published rating
Ashgrove Nursing ,Ashgrove Nursing Home 9 Dudley Wood Road Netherton Dudley DY2 0DA,cea@ashgrovecare.com,01384 413913,65+,"Dementia 
Old Age 
Sensory Impairment",Yes,57.0,DY2 0DA,"[52.4777428, -2.0859231]",52.4777428,-2.0859231,Requires improvement
Avondale  ,Avondale 45 Norton Road Norton Stourbridge DY8 2AH,"avondaleresthome@hotmail.
com",01384 442731,65+,Old Age,No,15.0,DY8 2AH,"[52.4453886, -2.157669]",52.4453886,-2.157669,No published rating
Beatrice House ,Beatrice House 25 Bell Street Pensnett Brierley Hill DY5 4HG,"beatricehouse@alphonsusse
rvices.co.uk",01384 482963,Not Stated,Learning Disability,No,3.0,DY5 4HG,"[52.4809461, -2.12446]",52.4809461,-2.12446,No published rating
Belvidere ,Belvidere 41-43 Stourbridge Road Holly Hall Dudley DY1 2DH,belvidere@gmail.com,01384 211850,55+,"Dementia 
Detention Under Mental 
Health Act 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,28.0,DY1 2DH,"[52.5037783, -2.1017361]",52.5037783,-2.1017361,Requires improvement
Brambles Rest Home ,Brambles Rest Home 69-70 Vicarage Road Amblecote Stourbridge DY8 4JA,"info@thebramblescarehom
e.co.uk",01384 379034,50+,"Dementia 
Old Age 
Physical Disability 
Younger Adults",No,35.0,DY8 4JA,"[52.4640096, -2.1481652]",52.4640096,-2.1481652,Requires improvement
Broadway Halls ,Broadway Halls The Broadway Dudley DY1 3EA,"broadwayhalls.administrato
r@brighterkind.com",01384 215190,65+,"Dementia 
Old Age 
Physical Disability",Yes,83.0,DY1 3EA,"[52.515554949999995, -2.0877722990597367]",52.51555495,-2.0877722990597367,Requires improvement
Camelot Rest Home ,Camelot Rest Home 152 Stourbridge Road Holy Hall Dudley DY1 2ER,cam152@hotmail.co.uk,01384 214290,18+,"Dementia 
Old Age",No,33.0,DY1 2ER,"[52.5028747, -2.1047859]",52.5028747,-2.1047859,Requires improvement
Castle View ,Castle View 6 Priory Road Dudley DY1 4AD,"goldenseniorcare@outlook.
com",01384 253426,18+,"Dementia 
Old Age",No,13.0,DY1 4AD,"[52.513868, -2.0858346]",52.513868,-2.0858346,Good
Castlewellan House ,Castlewellan House 41 Moss Grove Kingswinford DY6 9HP,admin@horizontc.com,01384 298321,65+,Old Age,No,18.0,DY6 9HP,"[52.5015863, -2.1698679]",52.5015863,-2.1698679,Good
Cedars (The) ,Cedars (The) 20-22 Redlake Road Pedmore Stourbridge DY9 0SA,thecedars22@hotmail.com,01562 882299,"65+ 
No 
Smoking","Dementia 
Old Age",No,22.0,DY9 0SA,"[52.4387806, -2.1367573]",52.4387806,-2.1367573,No published rating
Comberton (The) ,Comberton (The) 2 King William Street Amblecote Stourbridge DY8 4EP,"comberton@astleycarehom
es.co.uk",01384 262027,18+,"Dementia 
Old Age 
Physical Disability 
Younger Adults",Yes,36.0,DY8 4EP,"[52.4709654, -2.1499568]",52.4709654,-2.1499568,Requires improvement
Edmore House ,Edmore House 20 Oakham Road Dudley DY2 7TB,ann117@btinternet.com,01384 255149,65+,Old Age,No,18.0,DY2 7TB,"[52.50345735, -2.0725455852966848]",52.50345735,-2.0725455852966848,Good
Eve House ,Eve House (Alphonsus) 58a Albert Street Pensnett Brierley Hill DY5 4HW,"evehouse@alphonsusservic
es.co.uk",01384 482728,18+,"Learning Disability 
Mental Health Condition 
Physical Disability 
Younger Adults",No,5.0,DY5 4HW,"[52.48173, -2.12139]",52.48173,-2.12139,No published rating
Gower Gardens ,Gower Gardens Kent Road Halesowen B62 8PQ,"gowergardens.business@ki
ngsleyhealthcare.co.uk",0121 289 3965,65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,66.0,B62 8PQ,"[52.4594051, -2.025260015283357]",52.4594051,-2.025260015283357,No published rating
Grazebrook Homes ,Grazebrook Homes 37-39 Adshead Road Dudley DY2 8SS,"grazebrook@trustedhands. 
co.uk",01384 240502,18-65,"Dementia 
Learning Disability 
Physical Disability 
Sensory Impairment",No,9.0,DY2 8SS,"[52.5017384, -2.0828334]",52.5017384,-2.0828334,No published rating
Grazebrook Homes ,Grazebrook Homes 49-51 Adshead Road Dudley DY2 8SS,"grazebrook@trustedhands. 
co.uk",01384 255171,18-65,"Dementia 
Learning Disability 
Physical Disability 
Sensory Impairment",No,9.0,DY2 8SS,"[52.5017384, -2.0828334]",52.5017384,-2.0828334,No published rating
Greenleigh ,Greenleigh 219 Wolverhampton Road Sedgley DY3 1QR,"greenleigh@select-
group.co.uk",01902 664023,65+,"Dementia 
Old Age 
Physical Disability",No,35.0,DY3 1QR,"[52.5931208, -2.1066216]",52.5931208,-2.1066216,No published rating
Halas Homes ,Halas Homes Wassell Road Hasbury Halesowen B63 4JX,info@halashomes.co.uk,0121 550 8778,18+,Learning Disability,No,30.0,B63 4JX,"[52.44464220440522, -2.0660808868916276]",52.44464220440522,-2.066080886891628,No published rating
Highbury House ,Highbury House Mental Health Unit Parkfield Road Stourbridge DY8 1HB,"highbury.house@rushcliffec
are.co.uk",01384 354455,18+,"Detention Under Mental 
Health Act 
Learning Disability 
Mental Health Condition 
Old Age 
Sensory Impairment 
Substance Misuse 
Younger Adults","Yes 
ADULT 
MENTAL 
HEALTH 
UNIT 
ONLY",21.0,DY8 1HB,"[52.4548487, -2.1411762]",52.4548487,-2.1411762,Requires improvement
Highfield Residential ,Highfield Residential Home Stream Road Kingswinford DY6 9PB,"info@highfieldres.onmicros
oft.com",01384 288870,65+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment",No,13.0,DY6 9PB,"[52.4871586, -2.1623606]",52.4871586,-2.1623606,No published rating
