_id,Care Home Name,Name & Address,Email,Telephone No,Age Range,CQC Registered For,Provide Nursing,Capacity,Post Code,Coordinates[0],Coordinates[1],Latitude,Longitude,Rating
665727002e06dee8474c7472,Voyage care,"48 Cedar Road (Voyage) Dudley, DY1 4HW",48CedarRoad@voyagecare.\ncom,01384 241877,Under 65,Learning Disability \nMental Health Condition \nPhysical Disabilities \nSensory Impairment \nSubstance Misuse \nYounger Adults,No,9,DY1 4HW,52.5,-2.08333,52.5,-2.08333,No published rating
665727002e06dee8474c7473,Abbeygate Care ,Abbeygate Care Centre 2 Leys Road Brockmoor Brierley Hill DY5 3UR,abbeygatecare1@gmail.com,01384 571295,65+,Dementia \nMental Health Condition \nOld Age \nPhysical Disability \nSensory Impairment,No,17,DY5 3UR,52.4857514,-2.1341733,52.4857514,-2.1341733,No published rating
665727002e06dee8474c7474,Abbeymere ,Abbeymere 12 Eggington Road Wollaston Stourbridge DY8 2QJ,abbeymere@karelink.co.uk,01384 395195,65+,Dementia \nMental Health Condition \nOld Age \nPhysical Disability \nSensory Impairment,No,18,DY8 2QJ,52.4584,-2.16295,52.4584,-2.16295,No published rating
665727002e06dee8474c7475,Allenbrook Nursing ,Allenbrook Nursing Home 209 Spies Lane Halesowen B62 9SJ,manager@allenbrooknursing\nhome.co.uk,0121 422 5844,55+,Dementia \nMental Health Condition \nNo Medical Intervention \nOld Age \nPhysical Disability \nSensory Impairment,Yes,36,B62 9SJ,52.4613003,-2.0139452,52.4613003,-2.0139452,No published rating
665727002e06dee8474c7476,Amberley Care Home ,Amberley Care Home 481-483 Stourbridge Road Harts Hill Brierley Hill DY5 1LB,amberleycarehome@hotmail\n.co.uk,01384 482365,65+,Dementia \nOld Age,No,25,DY5 1LB,52.4927718,-2.1164204,52.4927718,-2.1164204,No published rating
665727002e06dee8474c7477,Arcare For Forte ,Arcare For Forte 440 Birmingham New Road Bilston WV14 9QB,ksharma@arcarehomes.co.u\nk,01902 880108,18+,Learning Disability \nMental Health Condition \nOld Age \nPhysical Disability \nSensory Impairment \nYounger Adults,No,9,WV14 9QB,52.5481562,-2.094362,52.5481562,-2.094362,No published rating
665727002e06dee8474c7478,Ashbourne Care Ltd ,Ashbourne Care Ltd Lightwood Road Dudley DY1 2RS,ashbourne.m@fshc.co.uk,01384 242200,65+,Dementia \nOld Age,No,38,DY1 2RS,52.517467,-2.101861,52.517467,-2.101861,No published rating
665727002e06dee8474c7479,Ashgrove Nursing ,Ashgrove Nursing Home 9 Dudley Wood Road Netherton Dudley DY2 0DA,cea@ashgrovecare.com,01384 413913,65+,Dementia \nOld Age \nSensory Impairment,Yes,57,DY2 0DA,52.4777428,-2.0859231,52.4777428,-2.0859231,Requires improvement
665727002e06dee8474c747a,Avondale  ,Avondale 45 Norton Road Norton Stourbridge DY8 2AH,avondaleresthome@hotmail.\ncom,01384 442731,65+,Old Age,No,15,DY8 2AH,52.4453886,-2.157669,52.4453886,-2.157669,No published rating
665727002e06dee8474c747b,Beatrice House ,Beatrice House 25 Bell Street Pensnett Brierley Hill DY5 4HG,beatricehouse@alphonsusse\nrvices.co.uk,01384 482963,Not Stated,Learning Disability,No,3,DY5 4HG,52.4809461,-2.12446,52.4809461,-2.12446,No published rating
665727002e06dee8474c747c,Belvidere ,Belvidere 41-43 Stourbridge Road Holly Hall Dudley DY1 2DH,belvidere@gmail.com,01384 211850,55+,Dementia \nDetention Under Mental \nHealth Act \nMental Health Condition \nOld Age \nPhysical Disability \nSensory Impairment,No,28,DY1 2DH,52.5037783,-2.1017361,52.5037783,-2.1017361,Requires improvement
665727002e06dee8474c747d,Brambles Rest Home ,Brambles Rest Home 69-70 Vicarage Road Amblecote Stourbridge DY8 4JA,info@thebramblescarehom\ne.co.uk,01384 379034,50+,Dementia \nOld Age \nPhysical Disability \nYounger Adults,No,35,DY8 4JA,52.4640096,-2.1481652,52.4640096,-2.1481652,Requires improvement
665727002e06dee8474c747e,Broadway Halls ,Broadway Halls The Broadway Dudley DY1 3EA,broadwayhalls.administrato\nr@brighterkind.com,01384 215190,65+,Dementia \nOld Age \nPhysical Disability,Yes,83,DY1 3EA,52.515554949999995,-2.0877722990597367,52.51555495,-2.087772299,Requires improvement
665727002e06dee8474c747f,Camelot Rest Home ,Camelot Rest Home 152 Stourbridge Road Holy Hall Dudley DY1 2ER,cam152@hotmail.co.uk,01384 214290,18+,Dementia \nOld Age,No,33,DY1 2ER,52.5028747,-2.1047859,52.5028747,-2.1047859,Requires improvement
665727002e06dee8474c7480,Castle View ,Castle View 6 Priory Road Dudley DY1 4AD,goldenseniorcare@outlook.\ncom,01384 253426,18+,Dementia \nOld Age,No,13,DY1 4AD,52.513868,-2.0858346,52.513868,-2.0858346,Good
665727002e06dee8474c7481,Castlewellan House ,Castlewellan House 41 Moss Grove Kingswinford DY6 9HP,admin@horizontc.com,01384 298321,65+,Old Age,No,18,DY6 9HP,52.5015863,-2.1698679,52.5015863,-2.1698679,Good
665727002e06dee8474c7482,Cedars (The) ,Cedars (The) 20-22 Redlake Road Pedmore Stourbridge DY9 0SA,thecedars22@hotmail.com,01562 882299,65+,Dementia \nOld Age,No,22,DY9 0SA,52.4387806,-2.1367573,52.4387806,-2.1367573,No published rating
665727002e06dee8474c7483,Comberton (The) ,Comberton (The) 2 King William Street Amblecote Stourbridge DY8 4EP,comberton@astleycarehom\nes.co.uk,01384 262027,18+,Dementia \nOld Age \nPhysical Disability \nYounger Adults,Yes,36,DY8 4EP,52.4709654,-2.1499568,52.4709654,-2.1499568,Requires improvement
