name&Address,email,telephoneNo,ageRange,cqcRegisteredFor,provideNursing,capacity,postCode,careHomeName
"Abbeygate Care,Centre,2 Leys Road,Brockmoor,Brierley Hill,DY5 3UR",abbeygatecare1@gmail.com,01384571295,Age 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,17,DY5 3UR,Abbeygate Care 
"Abbeymere,12 Eggington Road,Wollaston,Stourbridge,DY8 2QJ",abbeymere@karelink.co.uk,01384395195,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,18,DY8 2QJ,Abbeymere 
"Allenbrook Nursing,Home,209 Spies Lane,Halesowen,B62 9SJ",manager@allenbrooknursinghome.co.uk,01214225844,Ages 55+,"Dementia ,Mental Health Condition ,No Medical Intervention ,Old Age ,Physical Disability ,Sensory Impairment",Yes,36,B62 9SJ,Allenbrook Nursing 
"Amberley Care Home,481-483 Stourbridge,Road,Harts Hill,Brierley Hill,DY5 1LB",amberleycarehome@hotmail.co.uk,01384482365,Ages 65+,"Dementia ,Old Age",No,25,DY5 1LB,Amberley Care Home 
"Arcare For Forte,440 Birmingham New,Road,Bilston,WV14 9QB",ksharma@arcarehomes.co.uk,01902880108,18+,"Learning Disability ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,9,WV14 9QB,Arcare For Forte 
"Ashbourne Care Ltd,Lightwood Road,Dudley,DY1 2RS",ashbourne.m@fshc.co.uk,01384242200,Ages 65+,"Dementia ,Old Age",No,38,DY1 2RS,Ashbourne Care Ltd 
"Ashgrove Nursing,Home,9 Dudley Wood Road,Netherton,Dudley,DY2 0DA",cea@ashgrovecare.com,01384413913,Ages 65+,"Dementia ,Old Age ,Sensory Impairment",Yes,57,DY2 0DA,Ashgrove Nursing 
"Avondale ,45 Norton Road,Norton,Stourbridge,DY8 2AH",avondaleresthome@hotmail.com,01384442731,Ages 65+,Old Age,No,15,DY8 2AH,Avondale  
"Beatrice House,25 Bell Street,Pensnett,Brierley Hill,DY5 4HG",beatricehouse@alphonsusservices.co.uk,01384482963,Not Stated,Learning Disability,No,3,DY5 4HG,Beatrice House 
"Belvidere,41-43 Stourbridge,Road,Holly Hall,Dudley,DY1 2DH",belvidere@gmail.com,01384211850,Ages 55+,"Dementia ,Detention Under Mental ,Health Act ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,28,DY1 2DH,Belvidere 
