Name & Address,Email,Telephone No,Age Range,CQC Registered For,"Provide 
Nursing",Capacity,Post Code,Care Home Name,Min Age,Max Age,Coordinates,Latitude,Longitude
Abbeygate Care Centre 2 Leys Road Brockmoor Brierley Hill DY5 3UR,abbeygatecare1@gmail.com,01384 571295,Age 65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,17.0,DY5 3UR,Abbeygate Care ,65.0,,"[52.4857514, -2.1341733]",52.4857514,-2.1341733
Abbeymere 12 Eggington Road Wollaston Stourbridge DY8 2QJ,abbeymere@karelink.co.uk,01384 395195,Ages 65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,18.0,DY8 2QJ,Abbeymere ,65.0,,"[52.4584, -2.16295]",52.4584,-2.16295
Allenbrook Nursing Home 209 Spies Lane Halesowen B62 9SJ,"manager@allenbrooknursing
home.co.uk",0121 422 5844,Ages 55+,"Dementia 
Mental Health Condition 
No Medical Intervention 
Old Age 
Physical Disability 
Sensory Impairment",Yes,36.0,B62 9SJ,Allenbrook Nursing ,55.0,,"[52.4613003, -2.0139452]",52.4613003,-2.0139452
Amberley Care Home 481-483 Stourbridge Road Harts Hill Brierley Hill DY5 1LB,"amberleycarehome@hotmail
.co.uk",01384 482365,Ages 65+,"Dementia 
Old Age",No,25.0,DY5 1LB,Amberley Care Home ,65.0,,"[52.4927718, -2.1164204]",52.4927718,-2.1164204
Arcare For Forte 440 Birmingham New Road Bilston WV14 9QB,"ksharma@arcarehomes.co.u
k",01902 880108,18+,"Learning Disability 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment 
Younger Adults",No,9.0,WV14 9QB,Arcare For Forte ,18.0,,"[52.5481562, -2.094362]",52.5481562,-2.094362
Ashbourne Care Ltd Lightwood Road Dudley DY1 2RS,ashbourne.m@fshc.co.uk,01384 242200,Ages 65+,"Dementia 
Old Age",No,38.0,DY1 2RS,Ashbourne Care Ltd ,65.0,,"[52.517467, -2.101861]",52.517467,-2.101861
Ashgrove Nursing Home 9 Dudley Wood Road Netherton Dudley DY2 0DA,cea@ashgrovecare.com,01384 413913,Ages 65+,"Dementia 
Old Age 
Sensory Impairment",Yes,57.0,DY2 0DA,Ashgrove Nursing ,65.0,,"[52.4777428, -2.0859231]",52.4777428,-2.0859231
Avondale 45 Norton Road Norton Stourbridge DY8 2AH,"avondaleresthome@hotmail.
com",01384 442731,Ages 65+,Old Age,No,15.0,DY8 2AH,Avondale  ,65.0,,"[52.4453886, -2.157669]",52.4453886,-2.157669
Beatrice House 25 Bell Street Pensnett Brierley Hill DY5 4HG,"beatricehouse@alphonsusse
rvices.co.uk",01384 482963,Not Stated,Learning Disability,No,3.0,DY5 4HG,Beatrice House ,,,"[52.4809461, -2.12446]",52.4809461,-2.12446
Belvidere 41-43 Stourbridge Road Holly Hall Dudley DY1 2DH,belvidere@gmail.com,01384 211850,Ages 55+,"Dementia 
Detention Under Mental 
Health Act 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,28.0,DY1 2DH,Belvidere ,55.0,,"[52.5037783, -2.1017361]",52.5037783,-2.1017361
Brambles Rest Home 69-70 Vicarage Road Amblecote Stourbridge DY8 4JA,"info@thebramblescarehom
e.co.uk",01384 379034,Ages 50+,"Dementia 
Old Age 
Physical Disability 
Younger Adults",No,35.0,DY8 4JA,Brambles Rest Home ,50.0,,"[52.4640096, -2.1481652]",52.4640096,-2.1481652
Broadway Halls The Broadway Dudley DY1 3EA,"broadwayhalls.administrato
r@brighterkind.com",01384 215190,Ages 65+,"Dementia 
Old Age 
Physical Disability",Yes,83.0,DY1 3EA,Broadway Halls ,65.0,,"[52.515554949999995, -2.0877722990597367]",52.515554949999995,-2.0877722990597367
Camelot Rest Home 152 Stourbridge Road Holy Hall Dudley DY1 2ER,cam152@hotmail.co.uk,01384 214290,Ages 18+,"Dementia 
Old Age",No,33.0,DY1 2ER,Camelot Rest Home ,18.0,,"[52.5028747, -2.1047859]",52.5028747,-2.1047859
Castle View 6 Priory Road Dudley DY1 4AD,"goldenseniorcare@outlook.
com",01384 253426,Ages 18+,"Dementia 
Old Age",No,13.0,DY1 4AD,Castle View ,18.0,,"[52.513868, -2.0858346]",52.513868,-2.0858346
Castlewellan House 41 Moss Grove Kingswinford DY6 9HP,admin@horizontc.com,01384 298321,Ages 65+,Old Age,No,18.0,DY6 9HP,Castlewellan House ,65.0,,"[52.5015863, -2.1698679]",52.5015863,-2.1698679
"48 Cedar Road (Voyage) Dudley, DY1 4HW","48CedarRoad@voyagecare.
com",01384 241877,Under 65,"Learning Disability 
Mental Health Condition 
Physical Disabilities 
Sensory Impairment 
Substance Misuse 
Younger Adults",No,9.0,DY1 4HW,48 Cedar Road ,65.0,,"[52.5, -2.08333]",52.5,-2.08333
Cedars (The) 20-22 Redlake Road Pedmore Stourbridge DY9 0SA,thecedars22@hotmail.com,01562 882299,"Ages 65+ 
No 
Smoking","Dementia 
Old Age",No,22.0,DY9 0SA,Cedars (The) ,65.0,,"[52.4387806, -2.1367573]",52.4387806,-2.1367573
Comberton (The) 2 King William Street Amblecote Stourbridge DY8 4EP,"comberton@astleycarehom
es.co.uk",01384 262027,Ages 18+,"Dementia 
Old Age 
Physical Disability 
Younger Adults",Yes,36.0,DY8 4EP,Comberton (The) ,18.0,,"[52.4709654, -2.1499568]",52.4709654,-2.1499568
Edmore House 20 Oakham Road Dudley DY2 7TB,ann117@btinternet.com,01384 255149,Ages 65+,Old Age,No,18.0,DY2 7TB,Edmore House ,65.0,,"[52.50345735, -2.0725455852966848]",52.50345735,-2.0725455852966848
Eve House (Alphonsus) 58a Albert Street Pensnett Brierley Hill DY5 4HW,"evehouse@alphonsusservic
es.co.uk",01384 482728,18+,"Learning Disability 
Mental Health Condition 
Physical Disability 
Younger Adults",No,5.0,DY5 4HW,Eve House ,18.0,,"[52.48173, -2.12139]",52.48173,-2.12139
Gower Gardens Kent Road Halesowen B62 8PQ,"gowergardens.business@ki
ngsleyhealthcare.co.uk",0121 289 3965,Ages 65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,66.0,B62 8PQ,Gower Gardens ,65.0,,"[52.4594051, -2.025260015283357]",52.4594051,-2.025260015283357
Grazebrook Homes 37-39 Adshead Road Dudley DY2 8SS,"grazebrook@trustedhands. 
co.uk",01384 240502,18-65,"Dementia 
Learning Disability 
Physical Disability 
Sensory Impairment",No,9.0,DY2 8SS,Grazebrook Homes ,18.0,65.0,"[52.5017384, -2.0828334]",52.5017384,-2.0828334
Grazebrook Homes 49-51 Adshead Road Dudley DY2 8SS,"grazebrook@trustedhands. 
co.uk",01384 255171,18-65,"Dementia 
Learning Disability 
Physical Disability 
Sensory Impairment",No,9.0,DY2 8SS,Grazebrook Homes ,18.0,65.0,"[52.5017384, -2.0828334]",52.5017384,-2.0828334
Greenleigh 219 Wolverhampton Road Sedgley DY3 1QR,"greenleigh@select-
group.co.uk",01902 664023,Ages 65+,"Dementia 
Old Age 
Physical Disability",No,35.0,DY3 1QR,Greenleigh ,65.0,,"[52.5931208, -2.1066216]",52.5931208,-2.1066216
Halas Homes Wassell Road Hasbury Halesowen B63 4JX,info@halashomes.co.uk,0121 550 8778,18+,Learning Disability,No,30.0,B63 4JX,Halas Homes ,18.0,,"[52.44464220440522, -2.0660808868916276]",52.44464220440522,-2.0660808868916276
Highbury House Mental Health Unit Parkfield Road Stourbridge DY8 1HB,"highbury.house@rushcliffec
are.co.uk",01384 354455,Ages 18+,"Detention Under Mental 
Health Act 
Learning Disability 
Mental Health Condition 
Old Age 
Sensory Impairment 
Substance Misuse 
Younger Adults","Yes 
ADULT 
MENTAL 
HEALTH 
UNIT 
ONLY",21.0,DY8 1HB,Highbury House ,18.0,,"[52.4548487, -2.1411762]",52.4548487,-2.1411762
Highfield Residential Home Stream Road Kingswinford DY6 9PB,"info@highfieldres.onmicros
oft.com",01384 288870,Ages 65+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment",No,13.0,DY6 9PB,Highfield Residential ,65.0,,"[52.4871586, -2.1623606]",52.4871586,-2.1623606
Highview 12 Priory Road Dudlley DY1 4AD,"highview.home12@gmail.co
m",01384 258502,Ages 65+,"Dementia 
Mental Health Condition 
Old Age 
Physical Disability 
Sensory Impairment",No,23.0,DY1 4AD,Highview  ,65.0,,"[51.11129, -0.864748]",51.11129,-0.864748
Hillcroft Nursing Home 135 High Street Wordsley Stourbridge DY8 5QS,"hillcroft@astleycarehomes.c
o.uk",01384 271317,Ages 60+,"Dementia 
Learning Disability 
No Medical Intervention 
Old Age 
Physician Disability 
Younger Adults",Yes,28.0,DY8 5QS,Hillcroft Nursing ,60.0,,"[52.4831312, -2.1621007]",52.4831312,-2.1621007
Himley Manor 133 Himley Road Dudley DY1 2QF,"manager@himleymanor.co
m",01384 238588,Ages 65+,"Dementia 
Eating Disorders 
Old Age 
Physical Disability 
Sensory Impairment",No,51.0,DY1 2QF,Himley Manor ,65.0,,"[52.5122987, -2.1024108]",52.5122987,-2.1024108
Holly Hall 170 Stourbridge Road Dudley DY1 2ER,"hollyhall@select-
group.co.uk",01384 252219,,,,,DY1 2ER,Holly Hall ,,,"[52.5028747, -2.1047859]",52.5028747,-2.1047859
Holly Lodge 9 Rectory Road Oldswinford Stourbridge DY8 2HA,"Info@hollylodgecarehome.c
o.uk",01384 373306,Ages 65+,"Dementia 
Old Age 
Physical Disability 
Sensory Impairment",No,23.0,DY8 2HA,Holly Lodge ,65.0,,"[52.446726, -2.138347]",52.446726,-2.138347
Hollybush House John Corbett Drive Off Vicarage Road Stourbridge DY8 4HZ,"hollybush.house@shaw.co.
uk",01384 442782,Ages 65+,"Dementia 
Old Age","Yes 
(NHS 
Only)",24.0,DY8 4HZ,Hollybush House  ,65.0,,"[52.464863, -2.149516]",52.464863,-2.149516
Hollycroft Nursing Home 8-10 Redhill Stourbridge DY8 1ND,"manager@hollycroftcare.co.
uk",01384 394341,Ages 65+,"Dementia 
No Medical Intervention 
Old Age 
Physical Disability 
Sensory Impairment",Yes,37.0,DY8 1ND,Hollycroft Nursing ,65.0,,"[52.452297, -2.140777]",52.452297,-2.140777
Island Court 55 Bourne Street Woodsetton Dudley WV14 9HN,"islandcourtmanager@select
-group.co.uk",01902 886300,65+,"Dementia 
Physical Disabilities 
Sensory Impairments",Yes,55.0,WV14 9HN,Island Court ,65.0,,"[52.5388878, -2.1008776]",52.5388878,-2.1008776
