name&Address,email,telephoneNo,ageRange,cqcRegisteredFor,provideNursing,capacity,postCode,careHomeName,latitude,longitude,formattedAddress,addressValidation
"Abbeygate Care,Centre,2 Leys Road,Brockmoor,Brierley Hill,DY5 3UR",abbeygatecare1@gmail.com,1384571295.0,Age 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,17.0,DY5 3UR,Abbeygate Care ,52.4862302,-2.1339202,"Abbeygate Care,Centre, 2 Leys Road, Brockmoor, Brierley Hill DY5 3UR, UK",Passed
"Abbeymere,12 Eggington Road,Wollaston,Stourbridge,DY8 2QJ",abbeymere@karelink.co.uk,1384395195.0,Ages 65+,"Dementia ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,18.0,DY8 2QJ,Abbeymere ,52.4616105,-2.1645748,"Abbeymere, 12 Eggington Road, Wollaston, Stourbridge DY8 2QJ, UK",Passed
"Allenbrook Nursing,Home,209 Spies Lane,Halesowen,B62 9SJ",manager@allenbrooknursinghome.co.uk,1214225844.0,Ages 55+,"Dementia ,Mental Health Condition ,No Medical Intervention ,Old Age ,Physical Disability ,Sensory Impairment",Yes,36.0,B62 9SJ,Allenbrook Nursing ,52.4589866,-2.0189297,"Allenbrook Nursing,Home, 209 Spies Lane, Halesowen B62 9SJ, UK",Passed
"Amberley Care Home,481-483 Stourbridge,Road,Harts Hill,Brierley Hill,DY5 1LB",amberleycarehome@hotmail.co.uk,1384482365.0,Ages 65+,"Dementia ,Old Age",No,25.0,DY5 1LB,Amberley Care Home ,52.491708,-2.1161099,"Amberley Care Home, 481-483 Stourbridge Road, Harts Hill, Brierley Hill DY5 1LB, UK",Passed
"Arcare For Forte,440 Birmingham New,Road,Bilston,WV14 9QB",ksharma@arcarehomes.co.uk,1902880108.0,18+,"Learning Disability ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment ,Younger Adults",No,9.0,WV14 9QB,Arcare For Forte ,52.5459569,-2.0938493,"Arcare For Forte, 440 Birmingham New Road, Bilston WV14 9QB, UK",Passed
"Ashbourne Care Ltd,Lightwood Road,Dudley,DY1 2RS",ashbourne.m@fshc.co.uk,1384242200.0,Ages 65+,"Dementia ,Old Age",No,38.0,DY1 2RS,Ashbourne Care Ltd ,52.5174734,-2.1018483,"Ashbourne Care Ltd, Lightwood Road, Dudley DY1 2RS, UK",Passed
"Ashgrove Nursing,Home,9 Dudley Wood Road,Netherton,Dudley,DY2 0DA",cea@ashgrovecare.com,1384413913.0,Ages 65+,"Dementia ,Old Age ,Sensory Impairment",Yes,57.0,DY2 0DA,Ashgrove Nursing ,52.4793658,-2.0858703,"Ashgrove Nursing,Home, 9 Dudley Wood Road, Netherton, Dudley DY2 0DA, UK",Passed
"Avondale ,45 Norton Road,Norton,Stourbridge,DY8 2AH",avondaleresthome@hotmail.com,1384442731.0,Ages 65+,Old Age,No,15.0,DY8 2AH,Avondale  ,52.4455237,-2.1570418,"Avondale, 45 Norton Road, Norton, Stourbridge DY8 2AH, UK",Passed
"Beatrice House,25 Bell Street,Pensnett,Brierley Hill,DY5 4HG",beatricehouse@alphonsusservices.co.uk,1384482963.0,Not Stated,Learning Disability,No,3.0,DY5 4HG,Beatrice House ,52.5004862,-2.1251085,"Beatrice House, 25 Bell Street, Pensnett, Brierley Hill DY5 4HG, UK",Passed
"Belvidere,41-43 Stourbridge,Road,Holly Hall,Dudley,DY1 2DH",belvidere@gmail.com,1384211850.0,Ages 55+,"Dementia ,Detention Under Mental ,Health Act ,Mental Health Condition ,Old Age ,Physical Disability ,Sensory Impairment",No,28.0,DY1 2DH,Belvidere ,52.5035352,-2.1017267,"41-43 Stourbridge Road, Belvidere DY1 2DH, UK",Passed
